                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.93127,                0.61145,                 1.1154,                0.86484,                0.85784,                0.88999,                0.61728,                 1.2082,                0.88318,                 1.3308,              0.0003466,              0.0003466,              0.0003466
                     36,                0.90619,                0.59393,                 1.0979,                0.84462,                0.88601,                 0.8961,                0.61947,                 1.2247,                0.86972,                 1.3356,              0.0003268,              0.0003268,              0.0003268
                     37,                0.90619,                 0.5869,                 1.0959,                0.86138,                0.87313,                0.89564,                0.62621,                 1.2081,                0.88198,                 1.3402,               0.000307,               0.000307,               0.000307
                     38,                0.90397,                0.58101,                  1.093,                0.85494,                0.86516,                0.89154,                  0.625,                 1.2094,                0.88489,                 1.3307,              0.0002872,              0.0002872,              0.0002872
                     39,                0.90321,                0.58649,                 1.1045,                0.85561,                0.89016,                0.90665,                0.63334,                 1.1887,                 0.8386,                 1.3188,              0.0002674,              0.0002674,              0.0002674
                     40,                0.89991,                0.57216,                 1.0922,                0.86056,                0.86655,                0.89295,                0.62545,                 1.1816,                0.86559,                 1.3056,              0.0002476,              0.0002476,              0.0002476
                     41,                0.88499,                0.53164,                 1.1138,                0.85319,                0.88823,                0.90163,                0.63074,                 1.1925,                0.84301,                 1.3323,              0.0002278,              0.0002278,              0.0002278
                     42,                0.85734,                0.50496,                 1.1014,                0.85832,                0.88206,                0.90703,                0.63392,                 1.1925,                0.81549,                 1.3213,               0.000208,               0.000208,               0.000208
                     43,                0.85232,                0.49978,                 1.1002,                0.85791,                0.88957,                0.90435,                0.63239,                 1.1897,                0.82627,                 1.3267,              0.0001882,              0.0001882,              0.0001882
                     44,                0.84855,                0.49242,                  1.097,                0.84614,                0.88775,                0.90237,                0.63828,                 1.1838,                0.83471,                  1.321,              0.0001684,              0.0001684,              0.0001684
                     45,                0.83513,                0.48559,                  1.086,                0.84644,                 0.8819,                0.90372,                0.63567,                 1.1829,                 0.8314,                 1.3185,              0.0001486,              0.0001486,              0.0001486
                     46,                0.82751,                0.47737,                 1.0792,                0.85558,                0.88828,                0.90854,                0.63677,                 1.1799,                0.82512,                 1.3304,              0.0001288,              0.0001288,              0.0001288
                     47,                0.82343,                0.47685,                 1.0781,                0.85533,                0.87917,                0.90531,                0.64011,                   1.17,                 0.8383,                  1.318,               0.000109,               0.000109,               0.000109
                     48,                0.81588,                 0.4691,                 1.0729,                0.86252,                0.87196,                0.90645,                0.64054,                 1.1778,                0.83736,                 1.3164,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.80612,                0.46303,                  1.072,                0.84962,                0.88286,                0.90411,                0.63835,                 1.1675,                 0.8182,                  1.312,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.79622,                 0.4581,                 1.0632,                0.86149,                0.88196,                0.90398,                0.63799,                 1.1717,                0.81944,                 1.3178,               4.96e-05,               4.96e-05,               4.96e-05
